area,cuisine,location,name,price,profile_link,rating
Upper West Side,Mediterranean,"2454 Broadway, New York, NY 10024",Dagon,$30 and under,https://www.opentable.co.uk/r/dagon-new-york, 4.5,
Upper West Side,Greek,"217 W 85th St, New York, NY 10024",Elea,$50 and over,https://www.opentable.co.uk/r/elea-new-york,4.7,
Midtown East,Pan-Asian,"42 East 58th Street, New York, NY 10022",TAO Uptown,$31 to $50,https://www.opentable.co.uk/r/tao-uptown-new-york,4.5,
Upper West Side,Italian,"2450 Broadway, New York, NY 10024",Carmine's - 91st Street - NYC,$31 to $50,https://www.opentable.co.uk/carmines-91st-street-nyc,4.5,
Midtown West,Steakhouse,"1114 Avenue of the Americas, New York, NY 10036",STK - NYC - Midtown,$31 to $50,https://www.opentable.co.uk/r/stk-nyc-midtown-new-york,3.9,
Meatpacking District,Contemporary American,"26 Little West 12th street, New York, NY 10014",STK - Rooftop,$31 to $50,https://www.opentable.co.uk/r/stk-rooftop-new-york,4.2,
Upper West Side,Italian,"475 Columbus Ave, New York, NY 10024",Tarallucci e Vino - Upper West Side,$31 to $50,https://www.opentable.co.uk/r/tarallucci-e-vino-upper-west-side-new-york1,4.2,
Rockefeller Center Midtown,Mediterranean,"45 Rockefeller Plaza, New York, NY 10111",Limani - NYC,$50 and over,https://www.opentable.co.uk/limani-nyc,4.6,
Midtown East,Unspecified,"39 E 58th St, New York, NY 10022",LAVO Italian Restaurant - New York,$31 to $50,https://www.opentable.co.uk/r/lavo-italian-restaurant-new-york,4.6,
Midtown West,American,"1 Tavern on the Green, New York, NY 10023",Tavern on the Green,$31 to $50,https://www.opentable.co.uk/tavern-on-the-green,4.6,
Upper West Side,French American,"200 W. 70th, New York, NY 10023",Cafe Luxembourg,$31 to $50,https://www.opentable.co.uk/cafe-luxembourg,4.7,
Theater District / Times Square,Italian,"200 West 44th Street, New York, NY 10036",Carmine's - 44th Street - NYC,$30 and under,https://www.opentable.co.uk/carmines-44th-street-nyc,4.6,
Upper West Side,Japanese,"251 W. 72nd Street, New York, NY 10023",Sushi Yasaka,$31 to $50,https://www.opentable.co.uk/sushi-yasaka,4.7,
Midtown West,Steakhouse,"60 W 53rd St, New York, NY 10019",Nusr-Et Steakhouse New York,$50 and over,https://www.opentable.co.uk/r/nusr-et-steakhouse-new-york,4.6,
Upper West Side,Italian,"10 Columbus Cir, New York, NY 10019",Bad Roman,$31 to $50,https://www.opentable.co.uk/r/bad-roman-new-york,4.4,
Meatpacking District,Steakhouse,"26 Little West 12th St., New York, NY 10014",STK - NYC - Meatpacking,$50 and over,https://www.opentable.co.uk/r/stk-nyc-meatpacking-new-york,4.2,
Midtown West,Contemporary American,"210 W 55th St, New York, NY 10019",PHD Terrace – Dream Midtown,$30 and under,https://www.opentable.co.uk/r/phd-terrace-dream-midtown-new-york,4.2,
Upper West Side,Chinese (Canton),"2596 Broadway, New York, NY 10025",Dim Sum Bloom,$30 and under,https://www.opentable.co.uk/r/dim-sum-bloom-new-york,4.2,
NoMad,Mexican,"220 5th Ave, New York, NY 10001",SOL Mexican Cocina - New York,$30 and under,https://www.opentable.co.uk/r/sol-mexican-cocina-new-york,4.3,
Upper West Side,Seafood,"428 Amsterdam Avenue, New York, NY 10024",Crave Fishbar - UWS,$31 to $50,https://www.opentable.co.uk/r/crave-fishbar-uws-new-york,4.7,
Meatpacking District,Unspecified,"420 West 13th Street, New York, NY 10014",FIG & OLIVE Meatpacking,$31 to $50,https://www.opentable.co.uk/r/fig-and-olive-meatpacking-new-york,4.5,
Midtown West,American,"485 7th Ave, New York, NY 10018",Legasea Bar & Grill,$30 and under,https://www.opentable.co.uk/r/legasea-bar-and-grill-new-york,4.3,
Midtown West,Steakhouse,"481 8th Ave, New York, NY 10001",Butcher and Banker NYC,$31 to $50,https://www.opentable.co.uk/r/butcher-and-banker-new-york,4.4,
Theater District / Times Square,Steakhouse,"159 W 48th St, New York, NY 10036",NYY Steak,$50 and over,https://www.opentable.co.uk/r/nyy-steak-new-york,4.6,
Upper West Side,Pizzeria,"464 Amsterdam Ave, New York, NY 10024-5075",Song E Napule - UWS,$31 to $50,https://www.opentable.co.uk/r/song-e-napule-uws-new-york,4.5,
Upper West Side,Japanese,"620 Amsterdam Ave, New York, NY 10024",Gyu-Kaku - Manhattan - Amsterdam Ave.,$30 and under,https://www.opentable.co.uk/r/gyu-kaku-manhattan-amsterdam-ave-new-york,4.4,
Upper West Side,Japanese,"427 Amsterdam Ave, New York, NY 10024",Momoya,$31 to $50,https://www.opentable.co.uk/r/momoya-new-york-2,4.7,
Upper West Side,French,"2340 Broadway, New York, NY 10024",French Roast Uptown,$30 and under,https://www.opentable.co.uk/r/french-roast-uptown-new-york,4.5,
Upper West Side,Mediterranean,"487 Amsterdam Ave, New York, NY 10024",Bustan,$31 to $50,https://www.opentable.co.uk/r/bustan-new-york,4.7,
Midtown West,French,"145 W 53rd St, New York, NY 10019",La Grande Boucherie,$50 and over,https://www.opentable.co.uk/r/la-grande-boucherie-new-york,4.5,
NoMad,Italian,"292 5th Ave, New York, NY 10001-4513",Allora Fifth Ave,$30 and under,https://www.opentable.co.uk/r/allora-fifth-ave-new-york,4.4,
West Village,Unspecified,"225 W 12th St, New York, NY 10011",Mino Brasserie,$30 and under,https://www.opentable.co.uk/r/mino-brasserie-new-york,4.7,
NoMad,American,"127 E 27th St, New York, NY 10016",Sweetbriar,$30 and under,https://www.opentable.co.uk/r/sweetbriar-new-york,4.6,
Midtown West,Unspecified,"151 W 54th St, New York, NY 10019",Dabble,$30 and under,https://www.opentable.co.uk/r/dabble-new-york,4.6,
Flower District,Italian,"120 W 41st St, New York, NY 10036-7315",AperiBar,$31 to $50,https://www.opentable.co.uk/r/aperibar-new-york,4.4,
Hell's Kitchen,American,"305 W 48th St, New York, NY 10036-1348",Rosevale Kitchen & Cocktail Room,$31 to $50,https://www.opentable.co.uk/r/rosevale-kitchen-and-cocktail-room-new-york,4.3,
Upper West Side,French,"201 W 79th St, New York, NY 10024",Nice Matin,$30 and under,https://www.opentable.co.uk/r/nice-matin-new-york,4.5,
Upper West Side,American,"446 Columbus Ave., New York, NY 10024",The Milling Room,$31 to $50,https://www.opentable.co.uk/r/the-milling-room-new-york,4.5,
Murray Hill,Italian,"334 Lexington Avenue, New York, NY 10016",House of Lasagna,$30 and under,https://www.opentable.co.uk/r/house-of-lasagna-new-york,4.8,
Lincoln Square,American,"1900 Broadway, New York, NY 10023",The Smith- Lincoln Square,$30 and under,https://www.opentable.co.uk/the-smith-lincoln-square,4.4,
Chelsea,Spanish,"448 W. 33rd St., New York, NY 10001",Casa Dani,$30 and under,https://www.opentable.co.uk/r/casa-dani-new-york,4.4,
Midtown West,Italian,"481 8th Avenue, New York, NY 10001",Trattoria Bianca,$31 to $50,https://www.opentable.co.uk/trattoria-bianca,4.4,
Upper West Side,Mexican,"320 Amsterdam Ave, New York, NY 10023",Playa Betty's,$30 and under,https://www.opentable.co.uk/r/playa-bettys-new-york,4.3,
Theater District / Times Square,Mexican,"346 W 46th St, New York, NY 10036",Tito Murphy's,$30 and under,https://www.opentable.co.uk/r/tito-murphys-new-york,4,
NoMad,American,"420 Park Ave S, New York, NY 10016-8403",The Ivy Room,$31 to $50,https://www.opentable.co.uk/r/the-ivy-room-new-york,4.1,
Chelsea,Steakhouse,"412 W 15th St, New York, NY 10011-7002",Nusr-Et Steakhouse Meatpacking,$50 and over,https://www.opentable.co.uk/r/nusr-et-steakhouse-meatpacking-new-york,4.6,
Upper East Side,Italian,"1431 First Ave, New York, NY 10021",Numero 28 - Uptown,$31 to $50,https://www.opentable.co.uk/r/numero-28-new-york,4.4,
Upper East Side,Italian,"1710 2nd Ave, New York, NY 10128",IL Carino Restaurant,$31 to $50,https://www.opentable.co.uk/r/il-carino-restaurant-new-york,4.7,
Midtown West,Italian,"57 West 57th Street, New York, NY 10019",Quality Italian - New York,$31 to $50,https://www.opentable.co.uk/r/quality-italian-new-york,4.6,
Theater District / Times Square,Italian,"355 West 46th Street, New York, NY 10036",Becco,$31 to $50,https://www.opentable.co.uk/r/becco-new-york,4.6,
